UF,MT
Cidade,AGUA BOA
Nome Posto,FAZENDA SETE DE SETEMBRO
Latitude,-13.88361111111111
Longitude,-52.41277777777778
Codigo,1352000
Qtd. Anos,35
Ano,Maxima
1985,129.4
1986,67.2
1987,65
1988,111.8
1989,95.2
1990,90.4
1991,106.7
1992,135
1993,95.5
1994,66.6
1995,120.3
1996,89.6
1997,140.7
1998,134.1
1999,110.5
2000,91.2
2001,85.3
2002,57.8
2003,96.3
2004,92.5
2005,81.6
2006,60
2007,110
2008,134
2009,73.4
2010,116
2011,89.5
2012,86.2
2013,94
2014,85.4
2015,46.6
2016,51.5
2017,132.3
2018,103.4
2019,90.5
