UF,MT
Cidade,PORTO DOS GAUCHOS
Nome Posto,SINOP (FAZENDA SEMPRE VERDE)
Latitude,-11.69138888888889
Longitude,-55.448611111111106
Codigo,1156001
Qtd. Anos,37
Ano,Maxima
1983,38
1984,70.9
1985,110.2
1986,147.6
1987,82.2
1988,145.6
1989,148.6
1990,64.3
1992,66.5
1993,68
1994,69.3
1995,85.5
1996,143.9
1997,85.5
1998,94.9
1999,80.8
2000,97.6
2001,79.3
2002,62.4
2003,95.6
2004,140.2
2005,83.5
2006,86.8
2007,71.5
2008,68.6
2009,80.9
2010,65.8
2011,65.8
2012,65.8
2013,86.8
2014,85.2
2015,54.2
2016,115.6
2017,78.4
2018,85.4
2019,63.6
2020,53.2
