UF,MT
Cidade,RONDONOPOLIS
Nome Posto,RONDONOPOLIS
Latitude,-16.47111111111111
Longitude,-54.65611111111111
Codigo,1654000
Qtd. Anos,55
Ano,Maxima
1965,31.9
1966,53.2
1967,46.8
1968,67.1
1969,88.7
1970,56
1971,128.6
1972,61.1
1973,57.2
1974,88
1975,78
1976,178
1977,72.3
1978,99.1
1979,107
1980,57.3
1981,107.2
1982,60.6
1983,191.2
1984,82
1985,75
1986,98.4
1987,80
1988,64.2
1989,86.9
1990,86
1991,106.1
1992,205.2
1993,63.5
1994,84.2
1995,118.4
1996,85.3
1997,70.9
1998,121.2
1999,176.4
2000,80.2
2001,60.9
2002,75
2003,89
2004,56.7
2005,82.4
2006,90.5
2007,108
2008,87.4
2009,54.2
2010,74.3
2011,104.7
2012,114.3
2013,80.2
2014,62
2015,112.8
2016,59.2
2017,86.6
2018,47.6
2019,46.9
