UF,MT
Cidade,BOM JESUS DO ARAGUAIA
Nome Posto,ALO BRASIL
Latitude,-12.164166666666667
Longitude,-51.69694444444444
Codigo,1251000
Qtd. Anos,37
Ano,Maxima
1982,38.4
1983,83.4
1984,73
1985,120
1986,75
1987,129.4
1988,122
1989,54
1990,65.3
1991,103
1992,84
1993,80
1994,106.1
1995,118
1996,64.4
1997,111.6
1998,55.4
1999,158.2
2000,86.1
2001,71
2002,69.1
2003,125.5
2004,94
2005,104
2006,128.6
2007,114.9
2008,75.7
2009,81.5
2010,81.9
2011,98
2012,70
2013,50.1
2015,52
2016,92.1
2017,106
2018,65.4
2019,80.5
