UF,MT
Cidade,CHAPADA DOS GUIMARAES
Nome Posto,FAZENDA ESTIVA PR3
Latitude,-15.232777777777779
Longitude,-55.74111111111111
Codigo,1555008
Qtd. Anos,38
Ano,Maxima
1982,50.3
1983,73
1984,45
1985,79.2
1986,75
1987,90.4
1988,114
1989,71.8
1990,76
1991,80
1992,75
1993,92
1994,60
1995,88.9
1996,83.6
1997,92.7
1998,58.1
1999,93.6
2000,93.5
2001,85.1
2002,99.5
2003,95.6
2004,130.4
2005,97.7
2006,62.2
2007,56.3
2008,90
2009,40.7
2010,54.3
2011,88.7
2012,69.1
2013,70.3
2014,112.9
2015,59.7
2016,147.5
2017,82.4
2018,105
2019,63.5
