UF,MT
Cidade,TANGARA DA SERRA
Nome Posto,BRASFOR
Latitude,-14.384166666666665
Longitude,-58.23444444444444
Codigo,1458002
Qtd. Anos,38
Ano,Maxima
1982,81.7
1983,56.7
1984,71.8
1985,65.6
1986,70.8
1987,87.7
1988,64.6
1989,75
1990,70
1991,50
1992,10.3
1993,88
1994,13.6
1995,41.1
1996,75.4
1997,120.9
1998,78.7
1999,86.5
2000,60
2001,83
2002,98
2003,93
2004,123.5
2005,85.3
2006,89
2007,82
2008,78.4
2009,95.5
2010,99.9
2011,118.8
2012,102.7
2013,97.8
2014,134.4
2015,108.6
2016,118
2017,95.1
2018,102.4
2019,150.2
