UF,MT
Cidade,TANGARA DA SERRA
Nome Posto,TAPIRAPUA
Latitude,-14.850555555555555
Longitude,-57.76777777777777
Codigo,1457000
Qtd. Anos,49
Ano,Maxima
1971,111
1972,191
1973,103.8
1974,88.2
1975,123.5
1976,100
1977,68
1978,69.4
1979,90
1980,115
1981,72
1982,57.4
1983,78
1984,77.2
1985,71
1986,80.2
1987,69.2
1988,145.2
1989,63.2
1990,84.2
1991,50.2
1992,87
1993,102
1994,85.2
1995,111.4
1996,99.4
1997,58
1998,131.9
1999,53.4
2000,14.8
2001,70.3
2002,73
2003,52
2004,100
2005,56.6
2006,62.6
2007,99
2008,99.1
2009,128.1
2010,111.1
2011,80
2012,90.1
2013,97.2
2014,177.2
2015,95.5
2016,115.2
2017,88.8
2018,70.1
2019,45.5
