UF,MT
Cidade,VARZEA GRANDE
Nome Posto,SANTA EDWIGES
Latitude,-15.698611111111111
Longitude,-55.135555555555555
Codigo,1556007
Qtd. Anos,38
Ano,Maxima
1975,80.5
1976,78
1977,88
1978,114
1979,108.4
1980,101
1981,94
1982,55
1983,83.4
1984,83
1985,170
1986,95
1994,76
1995,85.7
1996,90
1997,97
1998,83.5
1999,74.3
2000,74.2
2001,82.3
2002,76.7
2003,105.5
2004,145.8
2005,99.5
2006,158.3
2007,73.5
2008,150
2009,101.7
2010,74
2011,94
2012,70.7
2013,96.3
2014,117
2015,35.5
2016,65
2017,110
2018,53
2019,49.9
