UF,MT
Cidade,CUIABA
Nome Posto,CUIABA
Latitude,-15.621666666666668
Longitude,-56.108333333333334
Codigo,1556002
Qtd. Anos,88
Ano,Maxima
1925,74.6
1926,90.6
1927,126.4
1928,84.7
1929,79.4
1930,81.6
1931,80.2
1932,66.6
1933,123.6
1934,95.4
1935,75.5
1936,99.2
1937,70
1938,106.2
1939,84.4
1940,96.7
1941,58
1942,70.2
1943,69.9
1944,73.9
1945,144.4
1946,93.3
1947,117.1
1948,102.6
1949,50.9
1950,69.8
1951,144.7
1952,78.8
1953,80.5
1954,123.2
1955,90.8
1956,74.9
1957,58.2
1958,71.4
1959,69
1960,86
1961,71.3
1962,75.8
1963,102.5
1964,107
1965,99.5
1966,124.6
1967,83.8
1968,99.7
1969,76.5
1970,115.1
1971,68.8
1972,112.7
1973,62.5
1974,124.1
1975,88.5
1976,94.2
1977,52.6
1978,63
1979,106
1980,86
1981,72.2
1982,50.7
1983,140
1984,87.3
1985,64.4
1986,100
1987,64
1988,98.4
1989,72
1995,134.3
1998,70.8
1999,100.8
2000,104.4
2001,81.6
2002,87
2003,58.2
2004,58
2005,82
2006,91.8
2007,124.3
2008,79.3
2009,118.2
2010,102.6
2011,118.9
2012,87.3
2013,55.1
2014,83.3
2015,93.2
2016,96.5
2017,94.1
2018,110.4
2019,74.9
