UF,MT
Cidade,COCALINHO
Nome Posto,TRECHO MEDIO
Latitude,-14.088055555555556
Longitude,-51.69888888888889
Codigo,1351000
Qtd. Anos,35
Ano,Maxima
1985,84.5
1986,102.3
1987,67.7
1988,96.3
1989,97.6
1990,94.6
1991,94.6
1992,95.6
1993,10
1994,86.5
1995,74.3
1996,105
1997,108.7
1998,56.1
1999,101.9
2000,95.7
2001,74.7
2002,93.8
2003,109.5
2004,88.6
2005,123.3
2006,65.4
2007,65.3
2008,64.7
2009,95.5
2010,78.5
2011,142.2
2012,117.2
2013,135.3
2014,102.7
2015,98.3
2016,106.2
2017,86.7
2018,65.1
2019,59.5
