UF,MT
Cidade,CACERES
Nome Posto,DESCALVADOS
Latitude,-16.733611111111113
Longitude,-57.750277777777775
Codigo,1657002
Qtd. Anos,38
Ano,Maxima
1968,86.6
1969,57.6
1970,79.2
1971,70.4
1972,89.6
1976,177.4
1977,87.2
1978,98.4
1979,104.6
1980,79.6
1981,97
1982,116.8
1983,83
1989,94.6
1991,65
1992,95.5
1993,71.1
1994,67.6
1995,87.2
1996,67.9
1997,63.4
1998,107.9
1999,71.4
2000,137.3
2001,97
2002,84.4
2003,81
2004,94
2005,74.8
2006,51.1
2011,96.5
2012,74.4
2013,90.3
2015,45.5
2016,75
2017,12.3
2018,50.2
2019,70.7
