UF,MT
Cidade,PONTE BRANCA
Nome Posto,PONTE BRANCA
Latitude,-16.76638888888889
Longitude,-52.83722222222222
Codigo,1652001
Qtd. Anos,45
Ano,Maxima
1973,76.4
1974,116
1975,182.3
1976,61
1977,70.8
1978,87
1979,80
1980,98
1981,75
1982,180
1983,90.4
1984,97
1985,58.4
1986,87.2
1987,154.9
1988,89.4
1989,73.6
1990,68.4
1993,74
1994,58.4
1995,127.8
1996,69.3
1997,109.8
1998,65.7
1999,72.5
2000,90.5
2001,66.3
2002,89.8
2003,84.4
2004,77.8
2005,123.2
2006,92
2007,88.9
2008,87
2009,132.1
2010,132
2011,58.3
2012,114.8
2014,80.3
2015,86.4
2016,100.5
2017,56.4
2018,68.3
2019,78
2020,106.1
