UF,MT
Cidade,PEDRA PRETA
Nome Posto,SANTA TEREZINHA
Latitude,-16.67388888888889
Longitude,-54.26611111111111
Codigo,1654001
Qtd. Anos,51
Ano,Maxima
1969,94.8
1970,57
1971,82.4
1972,39
1973,98.9
1974,62
1975,734
1976,66.2
1977,68
1978,52.8
1979,115
1980,89
1981,42
1982,56
1983,90
1984,530
1985,92
1986,71
1987,90
1988,99
1989,72
1990,53
1991,75
1992,61
1993,140
1994,61.3
1995,115.8
1996,63.2
1997,123.1
1998,77.2
1999,66.2
2000,71.6
2001,95.6
2002,68.5
2003,54.5
2004,53.6
2005,54
2006,57
2007,56
2008,54.3
2009,85.9
2010,65.2
2011,55.3
2012,60.4
2013,60
2014,59.5
2015,113.2
2016,52.1
2017,93
2018,53.2
2019,57.4
