UF,MT
Cidade,NOSSA SENHORA DO LIVRAMENTO
Nome Posto,N.S. LIVRAMENTO - BOSQUE F. BARROS
Latitude,-15.773888888888889
Longitude,-56.349722222222226
Codigo,1556001
Qtd. Anos,49
Ano,Maxima
1971,118.4
1972,125
1973,86
1974,100
1975,93
1976,97
1977,79
1978,45
1979,112
1980,70
1981,68
1982,65
1983,114
1984,50.2
1985,52.2
1986,115
1987,70.1
1988,82
1989,75
1990,75
1991,72.1
1992,61
1993,104
1994,30
1995,96.5
1996,59.5
1997,88.9
1998,97.9
1999,74.6
2000,122.4
2001,104.2
2002,80.6
2003,100.7
2004,112.7
2005,100.5
2006,80.5
2007,77.9
2008,98.8
2009,93.4
2010,88.1
2011,75.3
2012,106.5
2013,73.4
2014,67.5
2015,56.8
2016,81.5
2017,91.7
2018,76.8
2019,92.8
