UF,MT
Cidade,ROSARIO OESTE
Nome Posto,ROSARIO OESTE
Latitude,-14.834166666666667
Longitude,-56.41166666666666
Codigo,1456008
Qtd. Anos,45
Ano,Maxima
1968,47.8
1969,85
1970,119.8
1971,98
1972,75
1973,89.2
1974,90
1975,54
1976,54
1977,90
1978,75
1979,99.4
1980,90
1981,65
1982,64.4
1983,77.4
1984,90.4
1985,56.6
1986,85.7
1987,54.2
1988,113
1989,54.3
1990,59
1994,125
1995,76.9
1996,78.4
1997,82
1998,62
1999,78
2000,46.5
2001,106.4
2002,67.7
2003,48.9
2004,171.7
2005,120
2006,95.1
2007,48.7
2008,65.5
2009,104.3
2010,87.7
2011,91.7
2012,98.8
2013,152.3
2014,58
2015,50
