UF,MT
Cidade,CARLINDA
Nome Posto,INDECO
Latitude,-10.112499999999999
Longitude,-55.57
Codigo,1055001
Qtd. Anos,43
Ano,Maxima
1975,50.3
1976,140
1977,107
1978,107
1979,113.1
1980,82.3
1981,88
1982,87
1983,100
1984,85
1985,80
1986,66
1987,75.4
1988,90.4
1989,200
1990,275
1993,206.5
1994,72.6
1995,80.3
1996,120.6
1997,80.1
1998,85
1999,108.4
2000,106.6
2001,78.9
2002,86.3
2003,118.2
2004,91.4
2005,163.4
2006,94.9
2007,119.6
2008,76.2
2009,67.2
2010,98.4
2011,85.5
2012,108
2013,64.3
2014,195.9
2015,98.3
2016,68.7
2017,96.5
2018,110
2019,94.9
