UF,MT
Cidade,ROSARIO OESTE
Nome Posto,FAZENDA RAIZAMA (COIMBRA)
Latitude,-14.84388888888889
Longitude,-55.855000000000004
Codigo,1455008
Qtd. Anos,38
Ano,Maxima
1981,87.8
1982,97.2
1983,72.4
1984,96.6
1985,42
1986,67
1987,79
1988,101.2
1989,95.2
1991,56.4
1992,71.6
1993,39.8
1994,102.2
1995,69.6
1996,135.2
1997,68
1998,129.6
1999,63.8
2000,58.7
2001,70.6
2002,150.5
2003,89.4
2004,66.1
2005,73.1
2006,84.9
2007,44.9
2008,66.5
2009,71.2
2010,127.2
2011,114.1
2012,58
2013,76.1
2014,117
2015,59.1
2016,122.1
2017,128.6
2018,83.1
2019,91
