UF,MT
Cidade,SAO JOSE DO XINGU
Nome Posto,VILA SAO JOSE DO XINGU
Latitude,-10.807222222222222
Longitude,-52.74611111111111
Codigo,1052000
Qtd. Anos,42
Ano,Maxima
1976,129
1977,71
1978,70.4
1979,108.4
1980,104.6
1981,94
1982,98.4
1983,75.2
1984,70.2
1985,75
1986,92
1987,86.8
1988,112
1989,96.3
1990,68.1
1991,77
1992,112.3
1993,78.5
1994,90.4
1995,139.1
1996,70.6
1997,97.2
1998,142.6
1999,90.1
2000,93.7
2001,98.4
2002,71.2
2003,230.2
2004,68.9
2005,54.3
2006,64.7
2007,56.9
2008,58.5
2009,42.9
2010,49.6
2011,106
2012,61.8
2013,31.4
2016,40.6
2017,57.3
2018,70.6
2019,64.3
