UF,MT
Cidade,SINOP
Nome Posto,CACHOEIRAO
Latitude,-11.651111111111112
Longitude,-55.7025
Codigo,1155000
Qtd. Anos,44
Ano,Maxima
1975,53.8
1976,60
1977,104.4
1978,157.8
1979,49.5
1980,72.7
1981,114.6
1982,58
1983,76.4
1984,50.8
1985,69.1
1986,78.3
1987,79.4
1988,100.2
1989,73.1
1990,74.2
1992,64
1993,135.3
1994,109.3
1995,89
1996,90
1997,70.8
1998,80.3
1999,70.7
2000,90.8
2001,50.3
2002,56.7
2003,59.8
2004,444.3
2005,136.5
2006,122
2007,78
2008,86.3
2009,83.7
2010,99.5
2011,111.1
2012,53.1
2013,95
2014,161.5
2015,73
2016,143.6
2017,99.2
2018,132.7
2019,99.4
