UF,MT
Cidade,PONTES E LACERDA
Nome Posto,PONTES E LACERDA
Latitude,-15.224166666666667
Longitude,-59.35027777777778
Codigo,1559000
Qtd. Anos,46
Ano,Maxima
1974,70.4
1975,120.4
1976,81.7
1977,84.9
1978,89.2
1979,74
1980,103
1981,88
1982,66.6
1983,72
1984,88.6
1985,91.6
1986,89
1987,60.6
1988,79
1989,74
1990,141.9
1991,56.1
1992,80.8
1993,80
1994,92.1
1995,148.5
1996,88.7
1997,68.1
1998,99.8
1999,66
2000,62.5
2001,48.1
2002,75.9
2003,96.2
2004,138
2005,84
2006,81.2
2007,84.5
2008,105.7
2009,259.2
2010,64.2
2011,73.5
2012,101.2
2013,51.1
2014,55.7
2015,64.1
2016,117.1
2017,114
2018,75.7
2019,79.3
