UF,MT
Cidade,SAO FELIX DO ARAGUAIA
Nome Posto,SUIA LIQUILANDIA
Latitude,-11.73
Longitude,-51.98888888888889
Codigo,1152000
Qtd. Anos,39
Ano,Maxima
1976,67.4
1977,117
1978,86
1979,75.8
1980,67
1981,90.4
1982,100
1983,106
1984,88
1985,106.3
1986,53.6
1987,66
1988,82
1989,103.5
1990,35
1994,50
1995,87.5
1996,70.1
1997,117.2
1998,68.2
1999,76.4
2000,71.4
2001,75.6
2002,87.2
2003,80
2004,75.8
2005,85
2006,96
2007,87.7
2008,129
2009,60
2010,105
2011,81
2012,70
2013,103
2015,23
2016,100
2017,125
2018,77.1
