UF,MT
Cidade,POCONE
Nome Posto,PORTO CERCADO (Ex-Retiro Biguaçal)
Latitude,-16.511944444444445
Longitude,-56.37555555555556
Codigo,1656001
Qtd. Anos,48
Ano,Maxima
1968,30.3
1969,93.8
1970,42.5
1971,100.4
1972,45.8
1973,76.7
1974,53.9
1975,93.3
1976,98.3
1977,81.1
1978,79.2
1979,103.7
1980,73.9
1981,50.7
1984,39.4
1985,88
1986,38.3
1987,247.3
1988,189.9
1989,40.3
1993,43.8
1994,89
1995,125.3
1996,113.9
1997,84.6
1998,94.1
1999,78.2
2000,59.5
2001,72
2002,45.8
2003,39.5
2004,102
2005,87.9
2006,75.1
2007,65.7
2008,51.2
2009,73.2
2010,57.5
2011,74.1
2012,48.2
2013,43.7
2014,47.2
2015,51.3
2016,64.1
2017,54.1
2018,57.3
2019,47.1
2020,29.3
