UF,MT
Cidade,CAMPO NOVO DO PARECIS
Nome Posto,BACAVAL
Latitude,-13.641388888888889
Longitude,-58.28916666666667
Codigo,1358001
Qtd. Anos,37
Ano,Maxima
1983,180
1984,85
1985,102.9
1986,90.1
1987,135
1988,113
1989,77
1990,149
1991,110
1992,128.9
1993,75.4
1994,162.3
1995,85.4
1996,95.3
1997,97.8
1998,127.3
1999,95.5
2000,61.6
2001,67.1
2002,100.2
2003,98.6
2004,81.7
2005,87.6
2006,95.5
2007,134.7
2008,91.8
2009,87
2010,91.2
2011,65.7
2012,99.8
2013,99.1
2014,93.8
2015,116.4
2016,105.1
2017,139.8
2018,116.2
2019,56.3
