UF,MT
Cidade,BRASNORTE
Nome Posto,BRASNORTE
Latitude,-12.116388888888888
Longitude,-58.000277777777775
Codigo,1257000
Qtd. Anos,37
Ano,Maxima
1984,115
1985,86.2
1986,140
1987,88.4
1988,115
1989,78
1990,79.8
1991,82.8
1992,60.1
1993,63.4
1994,56.5
1995,104.3
1996,143.8
1997,91.7
1998,98.9
1999,129.4
2000,59.4
2001,94.1
2002,117.3
2003,133.7
2004,148.1
2005,97.1
2006,82.6
2007,131.3
2008,123.7
2009,62
2010,135
2011,135.6
2012,73.2
2013,80.6
2014,90.8
2015,78
2016,100.6
2017,80.6
2018,160.2
2019,90.8
2020,20.9
