UF,MT
Cidade,CAMPO VERDE
Nome Posto,SAO JOSE DA SERRA
Latitude,-15.836111111111112
Longitude,-55.32194444444445
Codigo,1555005
Qtd. Anos,43
Ano,Maxima
1976,53
1977,67.3
1978,103
1979,81.4
1980,36.9
1981,64
1982,60
1983,53
1984,84.5
1985,130.4
1986,72.2
1987,90.4
1988,55
1989,168.2
1990,97.2
1991,48
1992,70
1993,50.4
1994,55.4
1995,75
1996,66.3
1997,81.5
1998,98.4
1999,71.2
2000,71.4
2001,66.5
2002,119.9
2003,140.2
2004,96.5
2005,75.6
2006,95.2
2007,113.1
2008,123.1
2009,103.6
2010,115.7
2011,116.3
2012,160.8
2013,86.4
2014,61.3
2015,89.1
2016,93.4
2017,94.4
2018,77.8
