UF,MT
Cidade,VILA BELA DA SANTISSIMA TRINDADE
Nome Posto,MATO GROSSO
Latitude,-15.008055555555556
Longitude,-59.94916666666666
Codigo,1559006
Qtd. Anos,52
Ano,Maxima
1965,19.2
1966,68.6
1967,72.8
1968,57
1969,90
1970,94.4
1971,112.9
1972,129.2
1976,85.4
1977,104.2
1978,82.6
1979,57.5
1980,136.2
1981,58
1982,75.4
1983,83.1
1984,52
1985,58
1986,103.6
1987,96.4
1988,90.2
1989,79
1990,73.5
1991,60
1992,58.6
1993,50.2
1994,53
1995,75
1996,60.1
1997,111
1998,135
1999,55.1
2000,68.1
2001,68
2002,120
2003,69.4
2004,90
2005,68.4
2006,99.1
2007,98.7
2008,65.3
2009,72.1
2010,75.2
2011,90.1
2012,98.3
2013,60.3
2014,70.6
2015,90.5
2016,146.8
2017,64.2
2018,97.9
2019,65.8
