UF,MT
Cidade,NOVA XAVANTINA
Nome Posto,XAVANTINA
Latitude,-14.672222222222222
Longitude,-52.35472222222222
Codigo,1452000
Qtd. Anos,51
Ano,Maxima
1969,90
1970,76.7
1971,88.3
1972,102
1973,108.3
1974,93.4
1975,96.1
1976,71.4
1977,71.4
1978,65.3
1979,83.1
1980,70.3
1981,76.4
1982,79.2
1983,118.2
1984,58.2
1985,73.4
1986,87
1987,130.1
1988,58.3
1989,51.3
1990,75.2
1991,69.3
1992,92.1
1993,92
1994,130
1995,74.9
1996,92.5
1997,78.8
1998,124.8
1999,100
2000,73.9
2001,64.4
2002,71
2003,109.9
2004,99.7
2005,87.8
2006,124
2007,53.4
2008,77.9
2009,75.2
2010,147.9
2011,93.1
2012,87.5
2013,97.4
2014,82.9
2015,101.4
2016,85.7
2017,74.1
2018,168
2019,63.8
