UF,MT
Cidade,COLIDER
Nome Posto,COLIDER
Latitude,-10.79861111111111
Longitude,-55.448611111111106
Codigo,1055002
Qtd. Anos,38
Ano,Maxima
1982,32.3
1983,77.7
1984,70.2
1985,119
1986,91
1987,70
1988,45.3
1989,126
1990,108.8
1991,117.8
1992,24.2
1993,53.1
1994,108
1995,79.6
1996,99.5
1997,77.6
1998,99
1999,100
2000,168
2001,95.2
2002,94.3
2003,154.5
2004,156.9
2005,157.6
2006,89.2
2007,82.2
2008,99.1
2009,76.5
2010,99.7
2011,138.9
2012,50
2013,91.2
2014,175.1
2015,84.7
2016,73.9
2017,92.3
2018,108.7
2019,88.3
