UF,MT
Cidade,ARAGUAINHA
Nome Posto,CAFELANDIA DO LESTE
Latitude,-16.66888888888889
Longitude,-53.453611111111115
Codigo,1653005
Qtd. Anos,37
Ano,Maxima
1983,93
1984,83
1985,68.4
1986,98.3
1987,95.6
1988,80.2
1989,119.1
1990,80.6
1991,83.4
1992,140
1993,100.5
1994,65.6
1995,68.1
1996,93.6
1997,76
1998,49.2
1999,83.1
2000,69.5
2001,72.4
2002,118.1
2003,57.5
2004,97.2
2005,79
2006,60.6
2007,110
2008,20
2009,77.5
2010,65.2
2011,83.8
2012,99.3
2013,93.5
2014,62.2
2015,69.3
2016,66.2
2017,62.3
2018,100.2
2019,126.2
