UF,MT
Cidade,BARAO DE MELGACO
Nome Posto,SANTA LUCIA
Latitude,-16.89388888888889
Longitude,-55.907222222222224
Codigo,1655004
Qtd. Anos,47
Ano,Maxima
1969,107
1970,60
1971,103
1972,95
1973,70
1974,64
1975,65
1976,90
1977,243.3
1978,112
1979,108
1980,59
1981,96
1982,90
1983,133
1984,84
1985,157.4
1986,83
1987,66.4
1988,56.8
1989,54.2
1994,70.6
1995,99
1996,90
1997,90.6
1998,62.3
1999,89.3
2000,54.1
2001,150.3
2002,61.5
2003,84.3
2004,57
2005,48.5
2006,69.9
2007,99.1
2008,90.7
2009,78.6
2010,46.4
2011,114.8
2012,71.2
2013,98.1
2014,128.3
2015,141.2
2016,133.3
2017,93.6
2018,81.9
2019,70.4
