UF,MT
Cidade,ALTO BOA VISTA
Nome Posto,BATE PAPO
Latitude,-11.674722222222222
Longitude,-51.37638888888889
Codigo,1151000
Qtd. Anos,36
Ano,Maxima
1984,66.1
1985,69.4
1986,69.8
1987,136.8
1988,72.6
1989,50
1990,100
1991,48.8
1992,190.6
1993,90.9
1994,50.2
1995,50.2
1996,60
1997,63.5
1998,117.7
1999,89.5
2000,85.3
2001,70.3
2002,98.9
2003,110
2004,118.7
2005,92
2006,114.5
2007,64.5
2008,78.3
2009,102.2
2010,121.9
2011,95.3
2012,93
2013,101.9
2014,74.4
2015,76.5
2016,122
2017,190
2018,135.3
2019,89.5
