UF,MT
Cidade,BARAO DE MELGACO
Nome Posto,BAIA NOVA
Latitude,-16.35611111111111
Longitude,-55.58638888888889
Codigo,1655000
Qtd. Anos,47
Ano,Maxima
1968,60.3
1969,79.6
1970,52.6
1971,76.6
1972,104.6
1973,84.5
1974,99
1975,95.6
1976,81.1
1977,92.9
1978,105
1979,101.5
1980,35.6
1981,66.6
1982,79
1983,120
1984,210.2
1985,83.4
1986,43.5
1987,54.3
1988,163.6
1994,79.7
1995,87.9
1996,99.9
1997,69.7
1998,101
1999,81.1
2000,67
2001,82.5
2002,83.1
2003,76.5
2004,120
2005,57.3
2006,80
2007,66.5
2008,106.5
2009,50.5
2010,74
2011,72
2012,61.5
2013,112.1
2014,100
2015,96.3
2016,106.3
2017,82.4
2018,64.4
2019,91
