UF,MT
Cidade,BRASNORTE
Nome Posto,FAZENDA TOMBADOR
Latitude,-11.717777777777778
Longitude,-58.04722222222222
Codigo,1158003
Qtd. Anos,37
Ano,Maxima
1984,72.2
1985,120.4
1986,88
1987,167
1988,137
1989,140
1990,67
1991,98
1992,85
1993,65.2
1994,71
1995,123.2
1996,104.3
1997,50
1998,50.9
1999,89
2000,131.4
2001,93.8
2002,99.7
2003,104.1
2004,84.8
2005,103
2006,95
2007,83.3
2008,111.2
2009,87.3
2010,109.1
2011,132.5
2012,80.1
2013,100.1
2014,77.8
2015,82.8
2016,100.9
2017,83.2
2018,104.6
2019,90.5
2020,11.1
