UF,MT
Cidade,PARANATINGA
Nome Posto,FAZENDA AGROCHAPADA
Latitude,-13.448333333333334
Longitude,-54.28111111111111
Codigo,1354000
Qtd. Anos,44
Ano,Maxima
1976,186
1977,75
1978,114
1979,81
1980,98
1981,78.4
1982,67
1983,78.4
1984,80
1985,109.2
1986,100
1987,93.4
1988,71.4
1989,114.6
1990,83.8
1991,104
1992,86
1993,106
1994,58
1995,94
1996,108
1997,133.6
1998,96
1999,81.7
2000,93
2001,85.3
2002,91.2
2003,104.3
2004,97.3
2005,113
2006,118.5
2007,97.2
2008,140.5
2009,78.7
2010,137.8
2011,134.5
2012,72.3
2013,42.5
2014,91.8
2015,70.2
2016,64.8
2017,93.2
2018,119.8
2019,66.2
