UF,MT
Cidade,JACIARA
Nome Posto,JACIARA
Latitude,-15.988888888888889
Longitude,-54.968333333333334
Codigo,1554006
Qtd. Anos,55
Ano,Maxima
1965,64
1966,100
1967,68
1968,89
1969,84
1970,54.6
1971,58.1
1972,46.1
1973,95.4
1974,83.2
1975,151.4
1976,68.6
1977,90
1978,100
1979,83
1980,78.6
1981,104.6
1982,100
1983,79.6
1984,71.8
1985,88
1986,91.6
1987,60
1988,52.8
1989,79.4
1990,21.5
1991,95.8
1992,91.2
1993,51.2
1994,52.4
1995,79.2
1996,66.2
1997,97.2
1998,77.8
1999,85.6
2000,90.6
2001,91.6
2002,76.8
2003,64.6
2004,78.5
2005,151
2006,146.8
2007,52.7
2008,47.6
2009,61.6
2010,114.3
2011,107.1
2012,118.3
2013,119.3
2014,115.2
2015,75.5
2016,100.8
2017,71.8
2018,77.8
2019,78.6
