UF,MT
Cidade,INDIAVAI
Nome Posto,ALTO JAURU
Latitude,-15.44
Longitude,-58.58777777777778
Codigo,1558004
Qtd. Anos,51
Ano,Maxima
1964,14
1965,65
1966,82.8
1967,75.4
1968,90.8
1969,81
1970,100
1971,73
1972,93
1976,162
1977,79
1978,122.2
1979,480
1980,64.5
1981,81.2
1982,89
1983,127.2
1984,68.1
1985,55.3
1986,90.3
1987,60.1
1989,55.3
1991,75.2
1992,48.1
1993,50.1
1994,58.2
1995,75.2
1996,81.2
1997,65.2
1998,82.3
1999,70.1
2000,90.1
2001,85.5
2002,51.1
2003,96.3
2004,157
2005,90.9
2006,66.5
2007,76.5
2008,68.2
2009,96
2010,108
2011,130.7
2012,100
2013,444
2014,94.2
2015,127.5
2016,75.4
2017,77.9
2018,90
2019,83.2
