UF,MT
Cidade,CACERES
Nome Posto,FLECHAS
Latitude,-16.039166666666667
Longitude,-57.2575
Codigo,1657004
Qtd. Anos,45
Ano,Maxima
1968,73.7
1969,43.9
1970,230
1971,78.9
1972,206.5
1973,236
1974,213.6
1975,90.6
1976,65.2
1977,215.3
1978,215.3
1979,138.3
1980,72.3
1981,72.7
1982,110.3
1983,68.4
1984,68.4
1985,66.2
1993,80.8
1994,66.7
1995,79.1
1996,51.9
1997,85.7
1998,98.9
1999,77.4
2000,81.2
2001,96.7
2002,95.8
2003,78.7
2004,91.2
2005,63.2
2006,72.5
2007,85.7
2008,86.7
2009,58.6
2010,131.4
2011,78.3
2012,59.8
2013,69.8
2014,78.7
2015,99.8
2016,99.5
2017,99.8
2018,99.6
2019,79.8
