UF,AL
Cidade,ATALAIA
Nome Posto,ATALAIA
Latitude,-9.516666666666667
Longitude,-36.016666666666666
Codigo,936010
Qtd. Anos,106
Ano,Maxima
1912,2.5
1913,54.3
1914,66.5
1915,50.5
1916,51.2
1917,64
1918,68.5
1919,61.5
1920,44.2
1921,50.8
1922,52.8
1923,50.3
1924,50.8
1925,20.9
1926,38.1
1927,50.2
1928,43.2
1929,42
1930,54
1931,26
1932,46.4
1933,66
1934,68.4
1935,56
1936,58
1937,50.8
1938,68.1
1939,59.8
1940,83.1
1941,63.1
1942,64.2
1943,61.5
1944,72.5
1945,68.5
1946,94.7
1947,106.5
1948,111.5
1949,321.4
1950,68.1
1951,88.5
1952,74.6
1953,86.1
1954,73.8
1955,65.3
1956,37
1957,51.5
1958,58.5
1959,60
1960,45.2
1961,95
1962,84
1963,107
1964,61.7
1965,110.2
1966,96.5
1967,83.6
1968,98
1969,89
1970,62
1971,72
1972,104
1973,42.5
1974,40
1975,35
1976,70
1977,60
1978,40
1979,40
1980,55
1981,66
1982,55
1983,30
1984,80
1985,110
1986,36
1987,48
1988,60
1989,50
1990,28
1993,10
1994,45
1995,38
1996,90.6
1997,95.8
1998,55.5
1999,42.8
2000,85.5
2001,53.6
2002,68
2003,71.2
2004,158.5
2005,53.8
2006,98.1
2007,72.6
2008,84.9
2009,130
2010,200
2011,72.9
2012,62.5
2013,76
2014,97.8
2015,62.4
2016,79.2
2017,128.2
2018,113.2
2019,53.9
