UF,AL
Cidade,LIMOEIRO DE ANADIA
Nome Posto,LIMOEIRO DE ANADIA
Latitude,-9.74472222222222
Longitude,-37.1025
Codigo,936026
Qtd. Anos,88
Ano,Maxima
1912,68.2
1913,135.8
1914,45.8
1915,54
1916,35.1
1917,59.5
1918,61.5
1919,62.7
1920,34.4
1921,71.5
1922,74.5
1923,8.3
1924,24
1925,98
1926,72.5
1927,341
1928,134.2
1929,80.5
1930,84.4
1931,94.5
1932,61.2
1933,106.3
1934,92.3
1935,58.3
1936,135.2
1937,42.3
1938,66.3
1939,64.2
1940,95.5
1941,66.2
1942,48.3
1943,36.3
1944,94.3
1945,150.3
1946,48.3
1947,69.2
1948,60.5
1949,72.4
1950,50.2
1951,63.5
1952,42.3
1953,54.3
1954,32.2
1955,43.5
1956,56.5
1957,59.5
1958,72.2
1959,113.2
1960,84.8
1961,64.2
1962,50.2
1963,48.5
1964,159.5
1965,45.2
1966,75
1967,52.4
1968,42.6
1969,43.5
1970,78.3
1971,33
1972,60.2
1973,51.2
1974,55.3
1975,116.8
1976,25.9
1977,144.9
1978,85
1979,43.4
1980,51.9
1981,90.7
1982,68
1983,16.3
1984,57.3
1985,70
1986,83.8
1987,77.4
1988,76.1
1989,50.4
1990,78.4
1991,64.4
1994,83.8
1995,76.8
1996,16.8
1997,68.4
1998,25.6
1999,75
2000,65
2001,4.2
