UF,AL
Cidade,PASSO DE CAMARAGIBE
Nome Posto,PASSO DE CAMARAGIBE
Latitude,-9.233333333333333
Longitude,-35.483333333333334
Codigo,935013
Qtd. Anos,43
Ano,Maxima
1957,23.4
1958,46.3
1959,113.7
1960,137.7
1961,123.7
1962,79.5
1963,170
1964,109.3
1965,117.4
1966,50.2
1967,109.1
1968,50.2
1969,87.2
1970,52.1
1971,32.2
1972,120.4
1973,140.3
1974,45.2
1975,50.4
1976,100.3
1977,90.3
1978,90.2
1979,131.2
1980,165.2
1981,73.2
1982,180.3
1983,60.1
1984,86.3
1985,115.2
1986,86.2
1987,84.1
1988,134.2
1989,125.3
1990,73.2
1991,140.3
1994,105
1995,75
1996,15.3
1997,175
1998,90
1999,50
2000,180
2001,13.2
