UF,AL
Cidade,MAJOR ISIDORO
Nome Posto,MAJOR ISIDORO
Latitude,-9.533333333333333
Longitude,-36.983333333333334
Codigo,936028
Qtd. Anos,84
Ano,Maxima
1913,47.2
1914,62.5
1915,52.5
1916,69
1917,42.7
1918,65.8
1919,53.3
1920,60.5
1921,57.4
1922,66.9
1923,57.8
1924,33.5
1925,26
1926,36.8
1927,55.5
1928,28.4
1929,55.8
1930,69.8
1931,47.5
1932,21.1
1933,62.8
1934,54
1935,60.5
1936,45.7
1937,32.5
1938,27.8
1939,66.7
1940,48.9
1941,60.8
1942,38
1943,24.9
1944,115.8
1945,80.8
1946,38.5
1947,91.2
1948,65.2
1949,78.7
1950,39.4
1951,40.5
1952,62.3
1953,51.4
1954,59.5
1955,53
1956,40.6
1957,64.8
1958,38.4
1959,46.7
1960,76.4
1961,72.6
1962,42.5
1963,97.8
1964,64.4
1965,41.2
1966,64.5
1967,68.4
1968,56.6
1969,71.2
1970,27.4
1971,46.4
1972,72.8
1973,41.8
1974,76.4
1975,65.6
1976,42
1977,87.1
1978,38.3
1979,105.5
1980,69.5
1981,62.2
1982,54.4
1983,23.5
1984,54.2
1985,92.2
1986,34.4
1987,29.9
1988,79.7
1989,56.6
1990,54.5
1994,21
1995,65
1996,50.6
1997,25
1998,80.2
1999,20.4
