UF,AL
Cidade,MACEIO
Nome Posto,MACEIO
Latitude,-9.566666666666666
Longitude,-35.78333333333333
Codigo,935005
Qtd. Anos,81
Ano,Maxima
1912,52
1913,69.7
1914,74
1915,51.2
1916,58.3
1917,80.3
1918,65
1919,68.3
1920,68.3
1921,51.4
1922,64.5
1923,64.5
1924,64.5
1925,37.2
1926,65
1927,71.2
1928,73.4
1929,51
1930,72
1931,54.4
1932,84.5
1933,50.4
1934,119.3
1935,62.6
1936,13.5
1937,140.4
1938,138.7
1939,73.2
1940,113
1941,105.6
1942,50.2
1943,63.8
1944,162
1945,114
1946,84.3
1947,73
1948,129.5
1949,247
1950,70
1951,112.5
1952,72.2
1953,88
1954,71
1955,47
1956,80
1957,93
1958,58.8
1959,98.9
1960,60.3
1961,98.3
1962,98.3
1963,73.5
1964,46.9
1965,37.1
1966,174.8
1967,100
1968,98.3
1969,75
1970,32.4
1971,94
1972,122.7
1973,128.4
1974,105.2
1975,72.2
1976,105
1977,46.4
1979,55
1980,126.2
1981,53
1982,60
1983,46.4
1984,99.8
1985,95
1986,90
1987,112
1988,116
1989,130.8
1990,203.8
1991,85
1993,47.8
1994,110
