UF,AL
Cidade,QUEBRANGULO
Nome Posto,QUEBRANGULO
Latitude,-9.302222222222223
Longitude,-36.47277777777778
Codigo,936041
Qtd. Anos,81
Ano,Maxima
1912,2.6
1913,63.2
1914,52.5
1915,65.4
1916,73.4
1917,63.2
1918,49.7
1919,56.2
1920,63.7
1921,68.4
1922,76.5
1923,54.8
1924,98.4
1925,56.4
1926,56.3
1927,32.5
1928,21.3
1929,33.5
1930,38.4
1931,73.1
1932,63.6
1933,90.6
1934,203.4
1935,122.7
1936,102.4
1937,72.4
1938,59.8
1939,97.7
1940,68.6
1941,142.3
1942,63.5
1943,58.3
1944,198.6
1945,96.3
1946,56.4
1947,81.3
1948,146.3
1949,102.4
1950,65.2
1951,81.5
1952,56.3
1953,91.7
1954,63.4
1955,56.3
1956,148.3
1957,75.2
1958,56.3
1959,65.6
1960,67.5
1961,82.1
1962,68.4
1963,96.2
1964,58.4
1965,75.6
1966,204.2
1967,39.5
1968,51.4
1969,56.5
1970,38.2
1971,57.2
1972,35.3
1973,55.3
1974,25.4
1975,55.2
1976,27.3
1977,80
1978,20
1979,17.5
1980,58
1981,42
1982,40
1983,20
1984,38
1985,46.2
1986,40
1987,52
1988,78.2
1989,60.1
1990,34
1991,87.1
1994,66.3
