UF,AL
Cidade,TRAIPU
Nome Posto,TRAIPU
Latitude,-9.966666666666667
Longitude,-36.983333333333334
Codigo,936050
Qtd. Anos,105
Ano,Maxima
1912,22.6
1913,48.5
1914,85.2
1915,35.4
1916,56.4
1917,38.5
1918,26.2
1919,28.3
1920,28.5
1921,71.4
1922,73.3
1923,119.2
1924,218.4
1925,236.5
1926,72.4
1927,81.3
1928,43.3
1929,118.3
1930,284.4
1931,15.4
1932,12.4
1933,76.4
1934,15.3
1935,105.4
1936,62.3
1937,19.3
1938,22.5
1939,41.8
1940,38.4
1941,47.2
1942,38.9
1943,134.5
1944,67.1
1945,62.2
1946,30.3
1947,67.1
1948,88.5
1949,72.9
1950,54.9
1951,71.8
1952,34.4
1953,46.1
1954,84.9
1955,56.1
1956,39.2
1957,46.2
1958,50.3
1959,56
1960,62.8
1961,59.9
1962,42.3
1963,130.4
1964,48.8
1965,97.3
1966,100
1967,68
1968,56.2
1969,63.4
1970,45.4
1971,85.8
1972,38.6
1973,80.8
1974,40.8
1975,49
1976,25
1977,72.6
1978,56
1979,91.3
1980,56
1981,34
1982,37.2
1983,55
1984,49.2
1986,7.2
1987,56.4
1988,118.6
1989,60.7
1990,24.8
1991,29.1
1994,49
1995,27.5
1996,84.6
1997,64.2
1998,26.2
1999,63.6
2000,29.4
2001,33
2002,63.8
2003,47.4
2004,79.4
2005,48.3
2006,73.4
2007,47.4
2008,43.4
2009,60.2
2010,45.2
2011,62.8
2012,30.8
2013,80.2
2014,31
2015,48
2016,30.7
2017,42.9
2018,31.2
2019,54.2
