UF,AL
Cidade,PORTO CALVO
Nome Posto,PORTO CALVO
Latitude,-9.066666666666666
Longitude,-35.4
Codigo,935016
Qtd. Anos,62
Ano,Maxima
1937,166.7
1938,101
1939,60.8
1940,60
1941,14.2
1942,9.9
1943,204
1944,371.8
1945,120.9
1946,122.8
1947,125.8
1948,112.9
1949,82.8
1950,32.9
1951,22.8
1952,49.8
1953,32.8
1954,34.2
1955,12.7
1956,19.7
1957,15.4
1958,77.2
1959,145.2
1960,65.2
1961,60.6
1962,197.5
1963,90.2
1964,175.3
1965,169.4
1966,95
1967,50.1
1968,75.1
1969,75.3
1970,75.2
1971,71
1972,85.6
1973,78.9
1974,75.4
1975,75.6
1976,55.6
1977,74.6
1978,75.6
1979,72.4
1980,90
1981,78.6
1982,85
1983,78.2
1984,52.4
1985,73.4
1986,96.8
1987,78.6
1988,84.6
1989,110.1
1990,75.8
1991,74.2
1994,60.4
1995,22.4
1996,40.6
1997,75.6
1998,75.4
1999,30.2
2000,86.2
