UF,AL
Cidade,ANADIA
Nome Posto,ANADIA
Latitude,-9.68361111111111
Longitude,-36.30361111111111
Codigo,936070
Qtd. Anos,75
Ano,Maxima
1913,132.2
1914,67.8
1915,66.2
1916,54.8
1917,102.5
1918,66
1919,96.6
1920,32.2
1921,77
1922,64.7
1923,64
1924,63.4
1925,63.7
1926,60.3
1927,53
1928,66.2
1929,80.3
1930,64
1931,46.7
1932,57.8
1933,119.8
1934,92.5
1935,45.9
1936,80.4
1937,67.2
1938,60.5
1939,92.5
1940,69.4
1941,85.6
1942,60.5
1943,54.9
1944,115.1
1945,87.9
1946,55.2
1947,72.1
1948,93.5
1949,99.9
1950,58.2
1951,67
1952,48.3
1953,68.5
1954,61
1955,52
1956,60
1957,60.2
1958,53.5
1959,75.2
1960,72
1961,60
1962,74.2
1963,104
1964,66.5
1965,27.5
1966,58.2
1967,56.2
1968,82
1969,38.6
1970,85
1971,56.4
1972,58.3
1973,78.4
1974,63
1975,95
1976,48
1977,88.6
1978,66
1979,64
1980,65
1981,88
1982,78.4
1983,38.4
1984,67.3
1985,49
1986,8
1987,38.2
