UF,AL
Cidade,PORTO REAL DO COLEGIO
Nome Posto,PORTO REAL DO COLEGIO
Latitude,-10.183333333333334
Longitude,-36.833333333333336
Codigo,1036009
Qtd. Anos,85
Ano,Maxima
1912,68
1913,58.8
1914,61.5
1915,64.5
1916,37.5
1917,52.3
1918,59.2
1919,49.8
1920,84.5
1921,167.5
1922,54.2
1923,60
1924,59.4
1925,43.5
1926,32.6
1927,57.6
1928,54.1
1929,66.6
1930,64.3
1931,36.7
1932,27.2
1933,136.5
1934,62.8
1935,87.6
1936,84.2
1937,80
1938,136.4
1939,99
1940,65
1941,35.4
1942,54
1943,79
1944,60.4
1945,116.3
1946,21.7
1947,86
1948,99
1949,141.9
1950,40.1
1951,62
1952,70
1953,75.3
1954,48.7
1955,70
1956,72
1957,74
1958,30
1959,37.2
1960,56.8
1961,60
1962,47
1963,82
1964,88
1965,53.3
1966,57.1
1967,65.6
1968,73.4
1969,38.1
1970,77.4
1971,45.5
1972,73.2
1973,85.2
1974,50.2
1975,56.8
1976,30.2
1977,83.8
1978,21.2
1979,43
1980,42.2
1981,70
1982,70
1983,14.8
1984,80.2
1985,50
1986,74
1987,95
1988,58
1989,100
1990,34
1991,32.8
1994,19
1995,22.8
1996,10.8
1997,70
1998,14
