UF,AL
Cidade,LAGOA DA CANOA
Nome Posto,LAGOA DA CANOA
Latitude,-9.82861111111111
Longitude,-36.50944444444445
Codigo,936022
Qtd. Anos,71
Ano,Maxima
1920,25.9
1921,35
1922,25.5
1923,13
1924,19
1925,35
1926,15
1927,15
1936,49.6
1937,45.6
1938,32.9
1939,59.5
1940,66.9
1941,65.9
1942,68.7
1943,36.5
1944,66.9
1945,63.9
1946,80.3
1947,60.8
1948,54.6
1949,74.1
1950,46
1951,89.5
1952,48
1953,66
1954,71.2
1955,51.6
1956,37.5
1957,67.8
1958,59.7
1959,43.9
1960,112.2
1961,56.5
1962,45.8
1963,117
1964,62.4
1965,37
1966,63.4
1967,70
1968,87
1969,85
1970,58
1971,65
1972,62
1973,57.2
1974,43.4
1975,74
1976,43
1977,82
1978,58.8
1979,42
1980,45.9
1981,156.3
1982,101.4
1983,26.4
1984,86.9
1985,76
1986,66.8
1987,61.4
1988,61.6
1989,49.6
1990,34.9
1991,55.2
1994,82.2
1995,30
1996,15.6
1997,109.6
1998,41.4
1999,55.8
2000,40.6
