UF,AL
Cidade,SAO LUIS DO QUITUNDE
Nome Posto,SAO LUIS DO QUITUNDE
Latitude,-9.333333333333334
Longitude,-35.55
Codigo,935025
Qtd. Anos,51
Ano,Maxima
1937,97.4
1938,400.5
1939,162
1940,101.9
1941,137
1942,77
1943,91
1944,112
1945,65
1946,119.8
1947,71.5
1948,102
1949,136.5
1950,60.8
1951,105
1952,72.2
1953,3.2
1954,9.8
1955,5.2
1956,69.3
1957,77
1958,35.1
1959,79.3
1960,105.1
1961,42.3
1962,105.1
1963,63.2
1964,135.1
1965,125.2
1966,50.4
1967,50.4
1968,45.4
1969,41.4
1970,12.1
1971,109.1
1972,163.5
1973,120
1974,83
1975,138
1976,80.4
1977,117.4
1978,100
1979,139.6
1980,134.6
1981,42.8
1982,133.2
1983,91.4
1984,110.4
1985,121
1986,106
1987,50
