UF,AL
Cidade,PENEDO
Nome Posto,PENEDO
Latitude,-10.285
Longitude,-36.55638888888888
Codigo,1036005
Qtd. Anos,85
Ano,Maxima
1935,68.6
1936,48
1937,58
1938,51
1939,72.4
1940,80.1
1941,48.3
1942,67
1943,57
1944,106
1945,79
1946,99.4
1947,200.8
1948,95
1949,105
1950,83
1951,102
1952,74
1953,86
1954,84
1955,90
1956,80
1957,82
1958,119
1959,73
1960,56
1961,82
1962,70
1963,86
1964,86
1965,28
1966,86
1967,81
1968,141.2
1969,58
1970,64
1971,77
1972,74
1973,70
1974,73
1975,99.8
1976,73
1977,120.4
1978,117.2
1979,135
1980,94.4
1981,45.2
1982,92
1983,54.6
1984,51.4
1985,63.4
1986,125.6
1987,77.4
1988,108.8
1989,90
1990,42
1991,78.1
1992,72
1993,120.3
1994,114.8
1995,88.4
1996,101
1997,73.2
1998,55.3
1999,76.5
2000,61.5
2001,102
2002,59.5
2003,42
2004,82.4
2005,164.5
2006,102.2
2007,104.3
2008,94
2009,92.4
2010,128.5
2011,117.6
2012,80.7
2013,80
2014,69.7
2015,77.9
2016,38.4
2017,150
2018,37.4
2019,65.7
