UF,AL
Cidade,MATA GRANDE
Nome Posto,MATA GRANDE
Latitude,-9.133333333333333
Longitude,-37.733333333333334
Codigo,937014
Qtd. Anos,44
Ano,Maxima
1941,96
1942,61.5
1944,80
1949,94
1954,104.2
1955,60
1956,45
1957,103
1963,191
1964,47.3
1965,51.1
1966,106.1
1967,59.1
1968,73
1969,75.3
1970,66.3
1971,54.2
1972,97.8
1973,81.4
1974,39
1975,75
1976,57.3
1977,62
1978,80.1
1979,68.5
1980,52.2
1981,136.3
1982,69
1983,67
1984,94.2
1985,81.6
1986,73
1987,114
1988,163
1989,95
1990,50
1991,75.2
1994,84
1996,11
1997,74
1998,53.3
1999,43
2000,57.3
2001,12
