UF,AL
Cidade,VICOSA
Nome Posto,VICOSA
Latitude,-9.383333333333333
Longitude,-36.25
Codigo,936057
Qtd. Anos,107
Ano,Maxima
1913,67.8
1914,54.6
1915,38.2
1916,46.5
1917,136.2
1918,57.1
1919,57.8
1920,60.8
1921,61.3
1922,72
1923,57.1
1924,57.1
1925,70.1
1926,49.8
1927,68.5
1928,63
1929,47.3
1930,67.5
1931,38.8
1932,62.4
1933,49
1934,64.3
1935,64.7
1936,43.1
1937,70.5
1938,45.2
1939,56.6
1940,71.7
1941,58.1
1942,46.6
1943,78.5
1944,90
1945,85.5
1946,48.2
1947,121.2
1948,126.2
1949,146.2
1950,99.7
1951,84.2
1952,66.2
1953,39.7
1954,64.5
1955,52.9
1956,91.3
1957,74.1
1958,67.2
1959,72.5
1960,60.4
1961,158.4
1962,94.2
1963,102.9
1964,181.2
1965,61.3
1966,65.2
1967,63.5
1968,50.2
1969,8.6
1970,54.4
1971,54.5
1972,75.1
1973,64
1974,83.8
1975,71.4
1976,69
1977,76.6
1978,105
1979,78.8
1980,106
1981,65
1982,49
1983,63.8
1984,98
1985,91.8
1986,72.4
1987,51
1988,110
1989,140
1990,83
1991,72.5
1992,34.8
1993,70
1994,31.7
1995,33.1
1996,86.2
1997,98.7
1998,45.3
1999,55.4
2000,99.5
2001,47.8
2002,76.9
2003,101.5
2004,74.9
2005,53.6
2006,46.6
2007,45.9
2008,64.7
2009,78.4
2010,41.8
2011,48.8
2012,14.2
2013,47.6
2014,63.5
2015,74.9
2016,42.1
2017,78.5
2018,41.5
2019,37.6
