UF,AL
Cidade,SAO MIGUEL DOS CAMPOS
Nome Posto,SAO MIGUEL DOS CAMPOS
Latitude,-9.783333333333333
Longitude,-36.1
Codigo,936048
Qtd. Anos,66
Ano,Maxima
1920,67
1921,75.5
1922,74
1923,93.5
1924,66.3
1925,98.3
1926,60.1
1927,52.2
1928,75.4
1929,67.5
1930,68
1931,38.3
1932,61.3
1933,62.4
1934,64
1935,45.9
1936,65
1937,66.1
1938,66.2
1939,58.9
1940,88.7
1941,67
1942,63
1943,48.2
1944,78
1945,60.9
1946,69.7
1947,88
1948,98.1
1949,132.9
1950,61.5
1951,102.6
1952,81.5
1953,77.1
1954,86.3
1955,59.9
1956,59.5
1957,97.9
1958,91.6
1959,98.2
1960,73.6
1961,81.3
1962,115.4
1963,113.3
1964,81.1
1965,67.8
1966,66.8
1967,65.1
1968,110.1
1969,95.8
1970,44.1
1971,78.3
1972,9.1
1973,99.8
1974,65.6
1975,124.2
1976,82.2
1977,137.2
1978,135.8
1979,172.2
1980,71.6
1981,95.6
1982,83.2
1983,53.8
1984,84.9
1985,94.5
