UF,AL
Cidade,MURICI
Nome Posto,MURICI - PONTE
Latitude,-9.313611111111111
Longitude,-35.94972222222222
Codigo,935012
Qtd. Anos,56
Ano,Maxima
1963,143.6
1964,82.8
1965,65.2
1966,65
1967,81.2
1968,70.6
1969,92
1970,53.2
1971,72
1972,100.4
1973,40.8
1974,50.1
1975,80.3
1976,73.4
1977,100.4
1979,48.8
1980,35
1981,62.1
1982,88
1983,69.6
1984,117.6
1985,116.8
1986,80.4
1987,74
1988,75.2
1989,109.5
1990,39.7
1991,41.4
1992,37
1993,140.3
1994,80.3
1995,51
1996,91.8
1997,134.4
1998,86
1999,65
2000,116.8
2001,130.6
2002,71.4
2003,88.6
2004,82.1
2005,63.5
2006,53.8
2007,77.3
2008,117.4
2009,54.6
2010,68.9
2011,61.9
2012,38.2
2013,61.9
2014,75.7
2015,65.7
2016,80.5
2017,160.8
2018,109
2019,40.3
