UF,AL
Cidade,PIRANHAS
Nome Posto,PIRANHAS
Latitude,-9.626111111111111
Longitude,-37.75611111111111
Codigo,937023
Qtd. Anos,81
Ano,Maxima
1935,77.6
1936,39.8
1937,36.4
1938,34
1939,26
1940,58
1941,66
1942,51
1943,73
1944,57.8
1945,55.6
1946,38.6
1947,59
1948,55
1949,52.3
1950,75.5
1951,52
1952,33.2
1953,38
1954,59.2
1955,43.2
1956,38
1957,108
1958,48.1
1959,21.6
1960,72.5
1961,24
1962,63
1963,114
1964,43.2
1965,86
1966,56.2
1967,73.4
1968,27.8
1969,35.2
1970,47
1971,30.2
1972,104.4
1973,39.4
1974,65.8
1975,94.9
1980,7.2
1981,71
1982,21
1983,44
1984,60.3
1985,37
1986,34.8
1987,22
1988,120
1989,53.6
1990,25.2
1991,64
1992,97.2
1993,30.4
1994,47.4
1995,41.6
1996,29
1997,80.5
1998,21.8
1999,53.6
2000,79.7
2001,28.7
2002,94
2003,38.8
2004,52
2005,110
2006,77.6
2007,54.7
2008,48
2009,35
2010,44.4
2011,106.2
2012,15.7
2013,129
2014,26.6
2015,28.5
2016,60
2017,43.8
2018,44.1
2019,29.7
