UF,AL
Cidade,SANTANA DO IPANEMA
Nome Posto,SANTANA DO IPANEMA
Latitude,-9.372777777777777
Longitude,-37.24527777777778
Codigo,937032
Qtd. Anos,42
Ano,Maxima
1978,4.4
1979,44
1980,55.8
1981,56.6
1982,45
1983,46
1984,57.9
1985,58.2
1986,25
1987,25.5
1988,35
1989,83.5
1990,37.5
1991,25.5
1992,41
1993,41
1994,58
1995,75.8
1996,105
1997,48.9
1998,21.7
1999,52
2000,39.6
2001,30.6
2002,73
2003,65.1
2004,45
2005,52
2006,56.5
2007,55.7
2008,63.8
2009,105.2
2010,90.3
2011,25.2
2012,65.7
2013,62.3
2014,48.3
2015,20.8
2016,25.9
2017,42.7
2018,28.4
2019,52.4
