UF,AL
Cidade,AGUA BRANCA
Nome Posto,AGUA BRANCA-1
Latitude,-9.283333333333333
Longitude,-37.93333333333333
Codigo,937007
Qtd. Anos,65
Ano,Maxima
1912,24.1
1913,46.3
1914,67.6
1915,55.1
1916,45.5
1917,45.4
1918,65.8
1919,41.3
1920,66.8
1921,50.5
1922,50.3
1923,49.4
1924,125.5
1925,63.8
1926,64.3
1927,64
1928,58.3
1929,64.5
1930,57.2
1931,52.5
1932,46.7
1933,65
1934,62.8
1935,66.5
1936,47.4
1937,63.3
1938,64.7
1939,41.5
1940,65
1941,98.4
1942,68.2
1943,42.4
1944,66.3
1945,99.3
1946,55.6
1947,66.8
1948,67.6
1949,67.1
1950,71.1
1951,35.3
1952,62
1953,66
1954,64.1
1955,46.1
1956,86.1
1957,85.4
1958,52.2
1959,87
1961,60.6
1962,85.1
1963,153.2
1964,48.4
1965,65
1966,70.4
1967,88.8
1968,58
1969,72.4
1970,45.4
1971,60.5
1972,91.2
1973,45.4
1974,60.2
1975,100
1976,63
1984,37.6
