UF,AL
Cidade,PIACABUCU
Nome Posto,PIACABUCU
Latitude,-10.40638888888889
Longitude,-36.42611111111111
Codigo,1036007
Qtd. Anos,85
Ano,Maxima
1928,31.6
1929,90
1930,52.5
1931,47
1932,27
1933,22
1934,33
1935,35
1936,35
1937,25
1938,32.5
1939,60
1940,26
1941,26
1942,75
1943,80
1944,22
1945,176
1946,75
1947,90
1948,98
1949,86
1950,63
1951,85
1952,88
1953,87
1954,85
1955,62
1956,66
1957,64
1958,56
1959,42
1960,55
1961,70
1962,79
1963,110
1964,72
1965,75
1966,102
1967,75
1968,15
1969,92
1970,106
1971,80
1972,50
1973,66
1981,40.8
1982,115.8
1983,153
1984,78
1985,74.1
1986,114.5
1987,136.8
1988,176.6
1989,87
1990,29.1
1991,40
1992,50
1993,80.2
1994,86
1995,49.1
1996,60.7
1997,70
1998,76.7
1999,103.6
2000,58.7
2001,91.8
2002,72
2003,95.5
2004,73.3
2005,89.6
2006,110.5
2007,51.3
2008,69.7
2009,124.7
2010,99.1
2011,128.9
2012,114
2013,69.3
2014,48.8
2015,90
2016,42.7
2017,95.1
2018,47.5
2019,58.2
