UF,AL
Cidade,CANAPI
Nome Posto,CAPIA DA IGREJINHA
Latitude,-9.183333333333334
Longitude,-37.43333333333333
Codigo,937012
Qtd. Anos,61
Ano,Maxima
1937,47
1938,43
1939,26.4
1940,17
1941,90
1942,40
1943,70
1944,64.5
1945,40.8
1946,41
1947,50
1948,40.7
1949,60.6
1950,55.8
1951,39.7
1952,45
1953,38.6
1954,40.6
1955,37
1956,35.6
1957,37
1958,35.5
1959,40.5
1960,40.5
1961,40.4
1962,40.5
1963,36
1964,42
1965,30.6
1966,37.6
1967,63.5
1968,17.5
1969,54.4
1970,78
1971,66.4
1972,60
1973,58.8
1974,29.4
1975,30.4
1976,60.4
1977,38.7
1978,84.6
1979,36.6
1980,30.6
1981,75.2
1982,35.1
1983,50
1984,45.3
1985,72.2
1986,22
1987,25
1988,30.8
1989,30.6
1990,20.6
1991,30
1994,25.6
1996,25.4
1997,30.8
1998,30.2
1999,25
2000,28.6
