UF,AL
Cidade,MACEIO
Nome Posto,MACEIO (Tabuleiro)
Latitude,-9.551111111111112
Longitude,-35.769999999999996
Codigo,935004
Qtd. Anos,47
Ano,Maxima
1961,77.5
1962,68.2
1963,73.4
1964,106.9
1965,88
1966,100.1
1967,104.2
1968,130.3
1969,95
1970,113
1974,30.4
1975,93.1
1976,107.3
1977,149.7
1978,109.3
1979,121.4
1980,106.6
1986,122.2
1987,77.8
1988,100.6
1989,42.4
1993,91.7
1994,104.8
1995,72.2
1996,64.6
1997,71.8
1998,75
1999,93.8
2000,141.5
2001,75.1
2002,77.7
2003,64.2
2004,180.7
2005,56.4
2006,139.6
2008,17.9
2009,155.2
2010,187.8
2011,135
2012,110.5
2013,145.2
2014,83.2
2015,59.2
2016,173
2017,173
2018,89
2019,65.5
