UF,AL
Cidade,MATRIZ DE CAMARAGIBE
Nome Posto,MATRIZ DE CAMARAGIBE
Latitude,-9.166666666666666
Longitude,-35.516666666666666
Codigo,935011
Qtd. Anos,36
Ano,Maxima
1963,100
1964,62.2
1965,70
1966,98
1967,86
1968,60
1969,62.4
1970,85.5
1971,65
1972,80.2
1973,54
1974,26.6
1975,28.4
1976,26.4
1977,27.2
1978,23.4
1979,28.4
1980,24.2
1981,26.2
1982,25.2
1983,22.2
1984,25.2
1985,23.2
1986,23.2
1987,22.2
1988,25.4
1989,22.2
1990,22.2
1991,22.2
1994,23.2
1996,22.2
1997,22.2
1998,22.2
1999,21.2
2000,22.2
2001,15.2
