UF,AL
Cidade,RIO LARGO
Nome Posto,RIO LARGO
Latitude,-9.483333333333333
Longitude,-35.833333333333336
Codigo,935021
Qtd. Anos,34
Ano,Maxima
1963,55.8
1964,52.9
1965,49.6
1966,51.9
1967,51.7
1968,64.7
1969,59.7
1970,52.7
1971,59.8
1972,98.9
1973,207.4
1974,105.4
1975,86.6
1976,52
1977,42
1978,40
1979,30.2
1980,105
1981,25.1
1982,25
1983,5
1984,20
1985,25
1986,21
1987,25
1988,27
1989,25
1990,22
1991,12
1996,2
1997,16.3
1998,31.2
1999,24.9
2000,27.4
