UF,AL
Cidade,JUNQUEIRO
Nome Posto,JUNQUEIRO
Latitude,-9.933333333333334
Longitude,-36.483333333333334
Codigo,936020
Qtd. Anos,73
Ano,Maxima
1913,65.8
1914,60.4
1915,64.8
1916,74.4
1919,60.6
1920,46.7
1921,60.7
1922,62.9
1923,42
1924,50.6
1925,40.8
1926,40.2
1927,54.5
1928,41.2
1929,64.5
1930,86.4
1931,50.5
1932,38.4
1933,46.6
1934,58.6
1935,57
1936,63.7
1937,75.4
1938,67.2
1939,52.5
1940,41.6
1941,70.5
1942,52.2
1943,60.2
1944,60.5
1945,65.5
1946,32.8
1947,51.1
1948,105.6
1949,76.8
1950,52.4
1951,61.2
1952,45.5
1953,110.5
1954,76.5
1955,70.8
1956,52.4
1957,65.8
1958,54.5
1959,96.8
1960,153
1961,74.1
1962,119.1
1963,214.8
1964,50
1965,51.6
1966,75
1967,76.2
1968,61.2
1969,49
1970,35.3
1971,54.1
1972,107.8
1973,85.5
1974,48.2
1975,31.3
1976,23.2
1977,20.2
1978,12.4
1979,34.8
1980,31.4
1981,17.4
1982,32.4
1983,16.2
1984,18.6
1985,24
1986,42.2
1987,6.2
