UF,AL
Cidade,CORURIPE
Nome Posto,CORURIPE-2
Latitude,-10.116666666666667
Longitude,-36.166666666666664
Codigo,1036013
Qtd. Anos,50
Ano,Maxima
1936,150
1937,92.5
1938,38
1939,135.6
1940,69.4
1941,136.5
1942,92.3
1943,92.5
1944,95.5
1945,149.5
1946,90.7
1947,112
1948,110
1949,70.2
1950,62.5
1951,140.2
1952,62
1953,147
1954,60
1955,50
1956,62.3
1957,78
1958,120.2
1959,145
1960,87.7
1961,114.2
1962,143
1963,80.2
1964,250
1965,65
1966,104
1967,87.2
1968,58.2
1969,83.6
1970,50.1
1971,77.3
1972,77.5
1973,144.6
1974,183.6
1975,170.4
1976,74.4
1977,112
1978,82
1979,189.6
1980,86.4
1981,80
1982,126.6
1983,86.9
1984,106.5
1985,44.8
